observed_on,time_observed_at,quality_grade,latitude,longitude,positional_accuracy,private_latitude,private_longitude,public_positional_accuracy,scientific_name,common_name
2022-03-01,2022-03-02 00:00:00 UTC,research,33.54674,-117.7756745,3913,,,3913,Pelecanus occidentalis,Brown Pelican
2022-03-01,2022-03-01 14:21:36 UTC,research,32.7281791577,-117.2557503731,5,,,5,Pandion haliaetus,Osprey
2022-03-01,2022-03-01 21:20:09 UTC,research,36.4658939537,-121.0483344946,267,,,28534,Gymnogyps californianus,California Condor
2022-03-01,2022-03-01 21:06:10 UTC,research,33.8671286134,-117.7915094192,378,,,378,Haliaeetus leucocephalus,Bald Eagle
2022-03-01,2022-03-01 21:22:26 UTC,research,38.634385,-121.2283769722,,,,,Nannopterum auritum,Double-crested Cormorant
2022-03-01,2022-03-01 18:05:05 UTC,research,38.1116324512,-121.4097756791,334,,,334,Botaurus lentiginosus,American Bittern
2022-03-01,2022-03-01 19:59:55 UTC,research,37.9687274555,-122.0701178104,81,,,81,Nycticorax nycticorax,Black-crowned Night Heron
2022-03-01,2022-03-01 23:18:51 UTC,research,32.7560491953,-117.2341961415,5,,,5,Pandion haliaetus,Osprey
2022-03-01,2022-03-01 17:34:45 UTC,research,33.1575916667,-117.2467366667,4,,,4,Nycticorax nycticorax,Black-crowned Night Heron
2022-03-01,2022-03-01 23:28:51 UTC,research,33.7311033422,-116.3808787065,4,,,4,Nycticorax nycticorax,Black-crowned Night Heron
2022-03-01,2022-03-01 18:00:00 UTC,research,36.95245,-122.0675721667,4,,,4,Haliaeetus leucocephalus,Bald Eagle
2022-03-01,2022-03-01 23:55:06 UTC,research,37.4642533538,-122.2796643518,5,,,5,Circus hudsonius,Northern Harrier
2022-03-01,2022-03-02 00:41:20 UTC,research,37.5507583333,-122.0514221667,8,,,8,Nycticorax nycticorax,Black-crowned Night Heron
2022-03-01,2022-03-02 01:05:50 UTC,research,33.8140324791,-117.9174472435,9,,,9,Nycticorax nycticorax,Black-crowned Night Heron
2022-03-01,2022-03-01 20:39:58 UTC,research,37.8039263183,-122.4535606429,56,,,56,Falco peregrinus,Peregrine Falcon
2022-03-01,2022-03-01 18:03:00 UTC,research,37.4725717476,-122.4465691702,220,,,220,Anarhynchus nivosus,Snowy Plover
2022-03-01,2022-03-02 02:27:47 UTC,research,36.9716390813,-121.9054173956,23,,,23,Nycticorax nycticorax,Black-crowned Night Heron
2022-03-01,2022-03-01 15:08:00 UTC,research,32.8585194444,-116.227325,,,,,Buteo swainsoni,Swainson's Hawk
2022-03-01,2022-03-01 18:19:00 UTC,research,37.39749,-121.8002816667,,,,,Accipiter striatus,Sharp-shinned Hawk
2022-03-01,2022-03-01 23:24:00 UTC,research,36.9556529452,-122.0921171252,11,,,11,Circus hudsonius,Northern Harrier
2022-03-01,2022-03-02 01:09:00 UTC,research,36.9145959891,-122.1106163996,5,,,28476,Falco peregrinus,Peregrine Falcon
2022-03-01,2022-03-01 17:34:51 UTC,research,33.1576028333,-117.2467366667,4,,,4,Nycticorax nycticorax,Black-crowned Night Heron
2022-03-01,2022-03-02 00:44:16 UTC,research,36.97107,-121.912995,4,,,4,Larus heermanni,Heermann's Gull
2022-03-01,2022-03-01 23:22:00 UTC,research,36.4475800925,-121.801674378,1297,,,28534,Batrachoseps luciae,Santa Lucia Mountains Slender Salamander
2022-03-01,2022-03-02 06:58:00 UTC,research,32.725184,-117.2530541,1467,,,1467,Pelecanus occidentalis,Brown Pelican
2022-03-01,2022-03-01 19:58:00 UTC,research,36.9119388324,-121.8036228919,192,,,192,Pandion haliaetus,Osprey
2022-03-02,2022-03-02 16:25:16 UTC,research,32.8599466667,-116.9200583333,10,,,10,Nycticorax nycticorax,Black-crowned Night Heron
2022-03-01,2022-03-01 16:48:00 UTC,research,38.5621194853,-121.6337375826,190,,,190,Circus hudsonius,Northern Harrier
2022-03-02,2022-03-02 17:32:13 UTC,research,38.067401886,-122.2126312256,18,,,18,Nycticorax nycticorax,Black-crowned Night Heron
2022-03-01,2022-03-01 22:25:08 UTC,research,33.1571343181,-115.7181358337,6360,,,6360,Zonotrichia querula,Harris's Sparrow
2022-03-02,2022-03-02 14:13:00 UTC,research,33.6956195,-118.0464005,196,,,196,Nycticorax nycticorax,Black-crowned Night Heron
2022-03-02,2022-03-02 14:58:00 UTC,research,33.6956195,-118.0464005,196,,,196,Podiceps auritus,Horned Grebe
2022-03-02,2022-03-02 15:20:00 UTC,research,33.6961529269,-118.0455507586,37,,,37,Egretta rufescens,Reddish Egret
2022-03-01,2022-03-01 22:31:00 UTC,research,36.9595106444,-122.0192095226,378,,,378,Larus heermanni,Heermann's Gull
2022-03-02,2022-03-02 18:25:00 UTC,research,33.6956195,-118.0464005,196,,,196,Nannopterum auritum,Double-crested Cormorant
2022-03-02,2022-03-02 17:15:18 UTC,research,33.87353,-118.4078916667,7,,,7,Pelecanus occidentalis,Brown Pelican
2022-03-02,2022-03-02 17:36:13 UTC,research,33.8669583333,-118.4048616667,5,,,5,Anarhynchus nivosus,Snowy Plover
2022-03-02,2022-03-02 18:06:00 UTC,research,33.6956195,-118.0464005,196,,,196,Egretta rufescens,Reddish Egret
2022-03-02,2022-03-02 22:01:15 UTC,research,32.7848205566,-117.2518539429,72,,,72,Pandion haliaetus,Osprey
2022-03-01,2022-03-01 23:07:32 UTC,research,37.8684268474,-122.3144679889,152,,,152,Nycticorax nycticorax,Black-crowned Night Heron
2022-03-02,2022-03-02 17:07:25 UTC,research,38.1815640973,-121.4750957385,760,,,760,Circus hudsonius,Northern Harrier
