observed_on,time_observed_at,quality_grade,latitude,longitude,positional_accuracy,private_latitude,private_longitude,public_positional_accuracy,scientific_name,common_name
2021-03-01,2021-03-01 06:26:47 UTC,research,38.0022916667,-122.5294416667,4,,,4,Nycticorax nycticorax,Black-crowned Night Heron
2021-03-01,2021-03-01 10:49:32 UTC,research,37.1784169327,-121.7924527995,6948,,,6948,Circus hudsonius,Northern Harrier
2021-03-01,2021-03-01 17:52:00 UTC,research,37.6879276,-121.8808155,191,,,191,Nannopterum auritum,Double-crested Cormorant
2021-03-01,2021-03-01 17:20:00 UTC,research,33.745875,-118.4114816667,,,,,Pelecanus occidentalis,Brown Pelican
2021-03-01,2021-03-01 18:11:00 UTC,research,37.2481971167,-121.8704145167,,,,,Falco columbarius,Merlin
2021-03-01,2021-03-01 22:55:00 UTC,research,33.4572222432,-117.0699552215,122,,,122,Falco columbarius,Merlin
2021-03-01,2021-03-01 12:50:36 UTC,research,38.5577780805,-121.6138049215,8415,,,8415,Falco peregrinus,Peregrine Falcon
2021-03-01,2021-03-01 15:50:29 UTC,research,32.850095,-117.2717366667,12,,,12,Pelecanus occidentalis,Brown Pelican
2021-03-01,2021-03-01 16:15:29 UTC,research,37.8995357054,-122.5268575865,85,,,85,Nycticorax nycticorax,Black-crowned Night Heron
2021-03-01,2021-03-02 00:45:30 UTC,research,37.1030961726,-122.0396116701,10,,,28447,Aneides niger,Santa Cruz Black Salamander
2021-03-01,2021-03-01 17:08:31 UTC,research,37.8010666667,-122.270125,13,,,13,Nycticorax nycticorax,Black-crowned Night Heron
2021-03-01,,research,37.731535099,-122.5902693989,5195,,,28359,Rana draytonii,California Red-legged Frog
2021-03-01,2021-03-01 17:08:24 UTC,research,32.7863083333,-117.0468861111,,,,,Pandion haliaetus,Osprey
2021-03-01,2021-03-01 17:24:52 UTC,research,37.8035916667,-122.4474116667,6,,,6,Nycticorax nycticorax,Black-crowned Night Heron
2021-03-01,2021-03-02 00:46:08 UTC,research,39.7421716667,-120.3056716667,5,,,5,Haliaeetus leucocephalus,Bald Eagle
2021-03-01,2021-03-02 00:30:21 UTC,research,33.9666345415,-118.4597104869,16,,,16,Anarhynchus nivosus,Snowy Plover
2021-03-01,2021-03-01 17:44:37 UTC,research,33.9645009282,-118.4548618791,22,,,22,Melanitta americana,Black Scoter
