observed_on,time_observed_at,quality_grade,latitude,longitude,positional_accuracy,private_latitude,private_longitude,public_positional_accuracy,scientific_name,common_name
2020-03-02,2020-03-03 00:39:00 UTC,research,36.9052944919,-121.7859906882,192,,,192,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-02,2020-03-02 13:55:29 UTC,research,36.96208667,-122.00475278,11,,,11,Anarhynchus nivosus,Snowy Plover
2020-03-02,,research,32.6921749891,-117.1640848924,31,,,29066,Pandion haliaetus,Osprey
2020-03-03,2020-03-03 12:49:30 UTC,research,37.9502524574,-122.5986327396,7,,,7,Nannopterum auritum,Double-crested Cormorant
2020-03-03,2020-03-03 14:26:01 UTC,research,40.8612254251,-124.0933354944,5,,,5,Circus hudsonius,Northern Harrier
2020-03-03,2020-03-03 15:55:00 UTC,research,38.5413640495,-121.6266322508,526,,,526,Circus hudsonius,Northern Harrier
2020-03-01,2020-03-01 21:08:00 UTC,research,37.5865466667,-122.3275583333,,,,,Nannopterum auritum,Double-crested Cormorant
2020-03-03,2020-03-03 17:41:54 UTC,research,32.8595366667,-116.9204033333,,,,,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-01,2020-03-02 04:15:00 UTC,research,37.4407550643,-121.9616001824,45,,,45,Circus hudsonius,Northern Harrier
2020-03-01,2020-03-02 04:16:00 UTC,research,37.4417679765,-121.9594411251,138,,,138,Circus hudsonius,Northern Harrier
2020-03-03,2020-03-03 19:13:13 UTC,research,41.4286969847,-123.4375397958,9,,,27785,Rhyacotriton variegatus,Southern Torrent Salamander
2020-03-03,2020-03-03 19:16:45 UTC,research,41.4181409322,-123.4549871743,15,,,27785,Rhyacotriton variegatus,Southern Torrent Salamander
2020-03-03,2020-03-03 20:25:39 UTC,research,41.464272259,-123.554430671,9,,,27785,Rhyacotriton variegatus,Southern Torrent Salamander
2020-03-03,2020-03-03 20:16:11 UTC,research,35.7440635013,-118.7635488378,,,,28649,Gymnogyps californianus,California Condor
2020-03-01,2020-03-01 07:10:17 UTC,research,34.2324115374,-119.2654343694,155,,,155,Pelecanus occidentalis,Brown Pelican
2020-03-03,2020-03-03 19:59:04 UTC,research,36.5761266816,-121.0090926554,5,,,28534,Gymnogyps californianus,California Condor
2020-03-02,2020-03-02 20:07:00 UTC,research,39.4322766667,-122.1869,,,,,Haliaeetus leucocephalus,Bald Eagle
2020-03-03,2020-03-04 00:53:00 UTC,research,37.591468599,-122.313662481,61,,,28388,Pandion haliaetus,Osprey
2020-03-03,2020-03-03 18:10:06 UTC,research,33.62677,-117.64837833,5,,,5,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-03,2020-03-03 18:13:48 UTC,research,33.62804167,-117.650855,5,,,5,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-03,2020-03-04 01:51:00 UTC,research,35.545815811,-120.8679702984,48,,,28677,Batrachoseps minor,Lesser Slender Salamander
2020-03-03,2020-03-04 01:33:00 UTC,research,35.4088320186,-120.9397019658,48,,,28677,Batrachoseps minor,Lesser Slender Salamander
2020-03-03,2020-03-03 14:11:49 UTC,research,33.6987791398,-118.0437946239,185,,,28930,Pandion haliaetus,Osprey
2020-03-04,2020-03-04 13:50:40 UTC,research,33.7602760041,-118.3037144328,16225,,,16225,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-03,2020-03-04 01:18:00 UTC,research,37.5883861073,-122.3153007799,61,,,61,Podiceps auritus,Horned Grebe
2020-03-03,2020-03-03 13:55:42 UTC,research,33.6944436584,-118.038538298,422,,,422,Egretta rufescens,Reddish Egret
2020-03-04,2020-03-04 15:32:00 UTC,research,34.2070682337,-117.8646344978,25,,,25,Haliaeetus leucocephalus,Bald Eagle
2020-03-04,2020-03-04 10:21:21 UTC,research,40.9372212683,-124.0060199019,16,,,27877,Aneides vagrans,Wandering Salamander
2020-03-04,2020-03-04 18:40:36 UTC,research,38.5894650846,-121.5097604813,,,,,Pica nuttalli,Yellow-billed Magpie
2020-03-04,2020-03-04 19:20:44 UTC,research,40.8409890434,-124.0287382304,37,,,27877,Rana aurora,Northern Red-legged Frog
2020-03-04,2020-03-04 11:20:00 UTC,research,40.8050619382,-124.0367355146,98,,,27877,Rana aurora,Northern Red-legged Frog
2020-03-04,2020-03-04 21:27:49 UTC,research,40.9886324718,-124.0354828783,12,,,27877,Rana aurora,Northern Red-legged Frog
2020-03-04,2020-03-04 21:24:24 UTC,research,40.8826264633,-124.0325318019,28,,,27877,Rana aurora,Northern Red-legged Frog
2020-03-04,2020-03-04 12:38:01 UTC,research,40.9055184594,-124.0218360841,9,,,27877,Rana aurora,Northern Red-legged Frog
2020-03-04,2020-03-04 11:27:02 UTC,research,40.9744835601,-124.1579220455,,,,27877,Rana aurora,Northern Red-legged Frog
2020-03-03,2020-03-03 20:00:26 UTC,research,33.64728833,-116.36363833,6,,,6,Calypte costae,Costa's Hummingbird
2020-03-04,2020-03-04 11:22:46 UTC,research,40.9905225812,-124.0779203044,19,,,27877,Rana aurora,Northern Red-legged Frog
2020-03-04,2020-03-04 11:32:01 UTC,research,40.8048294591,-124.1323565669,16,,,27877,Rana aurora,Northern Red-legged Frog
2020-03-04,2020-03-04 11:59:44 UTC,research,40.8257528384,-124.1220569117,127,,,27877,Rana aurora,Northern Red-legged Frog
2020-03-04,2020-03-04 15:44:00 UTC,research,38.5263702786,-121.6147430241,132,,,132,Nannopterum auritum,Double-crested Cormorant
2020-03-04,2020-03-04 20:10:17 UTC,research,37.97228833,-121.82495833,7,,,7,Nannopterum auritum,Double-crested Cormorant
2020-03-04,2020-03-04 17:01:32 UTC,research,34.3179529744,-119.3670642748,13,,,13,Nannopterum auritum,Double-crested Cormorant
2020-03-04,2020-03-04 21:15:00 UTC,research,40.8741691288,-124.1122713225,21,,,27877,Rana aurora,Northern Red-legged Frog
2020-03-04,2020-03-04 11:29:38 UTC,research,40.8749570349,-124.0961754426,24,,,27877,Rana aurora,Northern Red-legged Frog
2020-03-04,2020-03-04 11:31:38 UTC,research,40.8605873138,-124.1561967331,16,,,27877,Rana aurora,Northern Red-legged Frog
2020-03-04,2020-03-04 16:44:54 UTC,research,37.8684675275,-122.3163703604,65,,,65,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-04,2020-03-04 21:55:00 UTC,research,32.8518333333,-117.0228583333,,,,,Circus hudsonius,Northern Harrier
2020-03-04,2020-03-04 20:44:00 UTC,research,37.9919403576,-122.1121114445,13,,,28329,Rana draytonii,California Red-legged Frog
2020-03-04,2020-03-04 21:06:00 UTC,research,38.4497134,-123.1151969,2620,,,2620,Nannopterum auritum,Double-crested Cormorant
2020-03-04,2020-03-04 11:29:52 UTC,research,40.9044137441,-124.1439761495,4279,,,27877,Rana aurora,Northern Red-legged Frog
2020-03-04,2020-03-04 17:05:00 UTC,research,37.2134279,-121.788263,2340,,,2340,Pica nuttalli,Yellow-billed Magpie
2020-03-04,2020-03-04 19:28:07 UTC,research,40.8793298576,-124.1965842585,200,,,27877,Rana aurora,Northern Red-legged Frog
2020-03-04,2020-03-04 19:32:00 UTC,research,40.8451558793,-124.0589127512,735,,,27877,Rana aurora,Northern Red-legged Frog
2020-03-04,2020-03-04 20:10:00 UTC,research,40.8912090539,-124.1578750155,440,,,27877,Rana aurora,Northern Red-legged Frog
2020-03-04,2020-03-04 21:23:08 UTC,research,41.4850412335,-123.5426775454,10,,,27785,Plethodon elongatus,Del Norte Salamander
2020-03-04,2020-03-04 23:26:38 UTC,research,41.4561059978,-123.5551117571,9,,,27785,Rhyacotriton variegatus,Southern Torrent Salamander
2020-03-04,2020-03-04 20:47:00 UTC,research,32.8515944444,-117.0229861111,,,,,Circus hudsonius,Northern Harrier
2020-03-04,2020-03-04 18:36:58 UTC,research,34.1021433428,-119.1281086859,295,,,295,Ardenna grisea,Sooty Shearwater
2020-03-04,2020-03-04 21:36:00 UTC,research,37.0791117,-121.4935499,1730,,,1730,Haliaeetus leucocephalus,Bald Eagle
2020-03-03,2020-03-03 15:23:00 UTC,research,38.5583983333,-121.6156916667,,,,,Limnodromus scolopaceus,Long-billed Dowitcher
2020-03-03,2020-03-03 15:24:00 UTC,research,38.5586,-121.6152916667,,,,,Limnodromus scolopaceus,Long-billed Dowitcher
2020-03-03,2020-03-03 15:25:00 UTC,research,38.5589666667,-121.6139,,,,,Limnodromus scolopaceus,Long-billed Dowitcher
2020-03-03,2020-03-03 15:34:00 UTC,research,38.5586383217,-121.61512,,,,,Limnodromus scolopaceus,Long-billed Dowitcher
2020-03-04,2020-03-04 22:35:00 UTC,research,38.0729212853,-122.8948334003,238,,,28300,Dicamptodon ensatus,California Giant Salamander
2020-03-03,2020-03-03 17:15:58 UTC,research,36.888672979,-121.9710398692,71,,,28476,Anarhynchus nivosus,Snowy Plover
2020-03-05,2020-03-05 07:38:12 UTC,research,36.6247517662,-121.9166247268,5,,,28505,Pandion haliaetus,Osprey
2020-03-05,2020-03-05 16:54:25 UTC,research,37.7705568145,-122.4769403546,,,,,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-04,2020-03-04 21:17:00 UTC,research,34.1573847321,-118.2974177377,2,,,2,Accipiter striatus,Sharp-shinned Hawk
2020-03-01,2020-03-01 18:41:00 UTC,research,32.8697600822,-116.4656885774,70,,,70,Coccothraustes vespertinus,Evening Grosbeak
2020-03-05,2020-03-05 15:00:34 UTC,research,36.9625219703,-122.005019691,5,,,5,Anarhynchus nivosus,Snowy Plover
2020-03-05,2020-03-05 17:46:08 UTC,research,33.970305,-118.45762,,,,,Pelecanus occidentalis,Brown Pelican
2020-03-05,2020-03-05 16:43:00 UTC,research,32.8404746431,-118.4534713201,5,,,29039,Lanius ludovicianus mearnsi,San Clemente Loggerhead Shrike
2020-03-04,2020-03-04 21:08:00 UTC,research,32.8414264667,-117.0335990695,35,,,35,Nannopterum auritum,Double-crested Cormorant
2020-03-05,2020-03-05 21:16:00 UTC,research,37.3173183333,-122.2713383333,,,,,Nannopterum auritum,Double-crested Cormorant
2020-03-05,2020-03-05 17:09:00 UTC,research,37.33355,-122.2819716667,,,,,Circus hudsonius,Northern Harrier
2020-03-05,2020-03-05 18:44:00 UTC,research,33.5635353,-117.0724244,202,,,202,Circus hudsonius,Northern Harrier
2020-03-05,2020-03-05 17:07:00 UTC,research,33.9812975109,-117.4148151208,506,,,506,Accipiter striatus,Sharp-shinned Hawk
2020-03-05,2020-03-05 23:08:21 UTC,research,38.5471179753,-121.6264267005,462,,,462,Botaurus lentiginosus,American Bittern
2020-03-05,2020-03-05 22:44:00 UTC,research,37.5231094,-122.2515182,172,,,28388,Mareca penelope,Eurasian Wigeon
2020-03-05,2020-03-06 02:27:10 UTC,research,38.55338859,-121.35063082,5,,,5,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-04,2020-03-04 12:01:00 UTC,research,35.1345682922,-118.460121519,4134,,,4134,Selasphorus rufus,Rufous Hummingbird
2020-03-05,2020-03-06 01:16:00 UTC,research,37.8041685857,-122.4581668624,15,,,15,Nannopterum auritum,Double-crested Cormorant
2020-03-05,2020-03-05 18:50:25 UTC,research,34.01386667,-119.56026333,5,,,5,Haliaeetus leucocephalus,Bald Eagle
2020-03-05,2020-03-06 01:25:00 UTC,research,37.8375370592,-122.3156636521,206,,,206,Nannopterum auritum,Double-crested Cormorant
2020-03-05,2020-03-05 19:40:00 UTC,research,36.76935,-121.9291366667,,,,,Rissa tridactyla,Black-legged Kittiwake
2020-03-05,2020-03-05 19:58:00 UTC,research,36.7695266667,-121.9804133333,,,,,Phoebastria nigripes,Black-footed Albatross
2020-03-05,2020-03-05 20:34:00 UTC,research,36.7994833333,-121.9866016667,,,,,Rissa tridactyla,Black-legged Kittiwake
2020-03-05,2020-03-05 20:49:00 UTC,research,36.80115,-121.9745083333,,,,,Rissa tridactyla,Black-legged Kittiwake
2020-03-05,2020-03-05 21:11:00 UTC,research,36.7889883333,-122.02798,,,,,Phoebastria nigripes,Black-footed Albatross
2020-03-05,2020-03-05 21:30:00 UTC,research,36.6259604263,-121.8018392081,,,,28505,Phoebastria immutabilis,Laysan Albatross
2020-03-05,2020-03-06 00:18:00 UTC,research,32.5733611111,-117.1254833333,,,,,Circus hudsonius,Northern Harrier
2020-03-05,2020-03-05 20:44:00 UTC,research,36.7680277101,-120.6218788295,,,,28505,Lanius ludovicianus,Loggerhead Shrike
2020-03-05,2020-03-05 21:35:00 UTC,research,36.5530041102,-120.6715356423,,,,28534,Lanius ludovicianus,Loggerhead Shrike
2020-03-05,2020-03-06 08:36:18 UTC,research,36.8106809471,-122.0892596835,5,,,28476,Dicamptodon ensatus,California Giant Salamander
2020-03-06,2020-03-06 08:41:10 UTC,research,38.53354167,-121.79385333,4,,,4,Buteo swainsoni,Swainson's Hawk
2020-03-05,2020-03-05 17:40:00 UTC,research,34.0752666667,-118.4390027778,10,,,10,Falco peregrinus,Peregrine Falcon
2020-03-04,2020-03-04 20:31:00 UTC,research,38.6346251868,-121.2284800029,94,,,94,Nannopterum auritum,Double-crested Cormorant
2020-03-05,2020-03-06 00:29:00 UTC,research,34.1562466049,-118.2954467973,15,,,15,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-04,2020-03-04 23:56:00 UTC,research,33.0784378199,-117.0622786891,15,,,15,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-06,2020-03-06 09:58:31 UTC,research,34.0446035704,-118.9337372315,5,,,5,Pelecanus occidentalis,Brown Pelican
2020-03-06,2020-03-06 18:22:39 UTC,research,35.13097389,-120.60628339,6,,,28734,Pandion haliaetus,Osprey
2020-03-06,2020-03-06 10:46:00 UTC,research,34.0381107923,-118.0591968909,24,,,24,Nannopterum auritum,Double-crested Cormorant
2020-03-06,2020-03-06 18:46:50 UTC,research,34.038075,-118.05920283,,,,,Nannopterum auritum,Double-crested Cormorant
2020-03-06,2020-03-06 10:57:09 UTC,research,34.0389165351,-118.0602665052,6,,,6,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-06,2020-03-06 15:36:00 UTC,research,34.2072482229,-117.864625842,26,,,26,Haliaeetus leucocephalus,Bald Eagle
2020-03-05,2020-03-05 17:02:09 UTC,research,32.7468989722,-117.254153,,,,,Pelecanus occidentalis,Brown Pelican
2020-03-06,2020-03-06 11:24:07 UTC,research,37.8034770582,-122.4472195656,5,,,5,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-06,2020-03-06 18:46:50 UTC,research,34.038075,-118.05920283,,,,,Nannopterum auritum,Double-crested Cormorant
2020-03-06,2020-03-06 13:33:41 UTC,research,38.0230891239,-122.5195996464,5,,,5,Nannopterum auritum,Double-crested Cormorant
2020-03-06,2020-03-06 21:54:00 UTC,research,39.4426238347,-123.8092951601,111,,,111,Circus hudsonius,Northern Harrier
2020-03-03,2020-03-03 15:57:46 UTC,research,38.4061223057,-122.8141764844,364,,,364,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-06,2020-03-06 17:53:00 UTC,research,32.9871055303,-118.4567010761,10,,,29039,Lanius ludovicianus mearnsi,San Clemente Loggerhead Shrike
2020-03-06,2020-03-06 18:22:00 UTC,research,33.7497,-118.11153,,,,,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-06,2020-03-06 19:13:00 UTC,research,33.69634,-118.04544,,,,,Circus hudsonius,Northern Harrier
2020-03-06,2020-03-06 20:22:00 UTC,research,34.0333345199,-118.6829402252,56,,,56,Pelecanus occidentalis,Brown Pelican
2020-03-06,2020-03-06 16:05:00 UTC,research,39.4270466667,-122.187645,,,,,Falco columbarius,Merlin
2020-03-06,2020-03-06 17:16:00 UTC,research,33.7508742478,-118.1129414773,53,,,53,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-06,2020-03-06 17:21:00 UTC,research,33.7508742478,-118.1129414773,53,,,53,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-06,2020-03-06 17:22:00 UTC,research,33.7508742478,-118.1129414773,53,,,53,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-06,2020-03-06 17:31:00 UTC,research,33.7508742478,-118.1129414773,53,,,53,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-06,2020-03-06 16:18:00 UTC,research,39.4220916667,-122.164495,,,,,Haliaeetus leucocephalus,Bald Eagle
2020-03-06,2020-03-06 21:28:00 UTC,research,36.9923904948,-122.1689686408,200,,,200,Circus hudsonius,Northern Harrier
2020-03-06,2020-03-07 02:25:00 UTC,research,38.5162795,-122.8606246,856,,,856,Haliaeetus leucocephalus,Bald Eagle
2020-03-06,2020-03-06 16:26:00 UTC,research,39.4221233333,-122.1595466667,,,,,Haliaeetus leucocephalus,Bald Eagle
2020-03-06,2020-03-06 16:33:00 UTC,research,39.4221233333,-122.1595466667,,,,,Haliaeetus leucocephalus,Bald Eagle
2020-03-06,2020-03-06 12:36:46 UTC,research,34.0438611667,-118.9330966667,,,,,Nannopterum auritum,Double-crested Cormorant
2020-03-06,2020-03-06 11:05:42 UTC,research,37.3433741276,-121.7241427609,62,,,62,Haliaeetus leucocephalus,Bald Eagle
2020-03-05,2020-03-05 20:18:29 UTC,research,38.0438619085,-122.8001010897,35,,,35,Falco columbarius,Merlin
2020-03-05,2020-03-05 14:01:47 UTC,research,41.7043962848,-124.1225857906,5,,,27754,Rhyacotriton variegatus,Southern Torrent Salamander
2020-03-05,2020-03-05 13:31:59 UTC,research,41.68789772,-124.1838009369,10,,,27754,Ascaphus truei,Coastal Tailed Frog
2020-03-06,2020-03-06 17:02:03 UTC,research,37.86975,-122.30149667,14,,,14,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-07,2020-03-07 09:12:00 UTC,research,36.60017,-121.89521667,65,,,65,Falco peregrinus,Peregrine Falcon
2020-03-07,2020-03-07 16:47:00 UTC,research,38.5584466667,-121.615605,,,,,Nannopterum auritum,Double-crested Cormorant
2020-03-06,2020-03-07 00:06:00 UTC,research,33.679425,-117.1556316667,,,,28930,Pandion haliaetus,Osprey
2020-03-07,2020-03-07 18:07:38 UTC,research,33.5811937398,-117.8554882854,37,,,37,Anarhynchus nivosus,Snowy Plover
2020-03-06,2020-03-06 17:39:24 UTC,research,38.4673832583,-123.1234468673,21,,,28240,Taricha rivularis,Red-bellied Newt
2020-03-06,2020-03-06 17:33:00 UTC,research,39.4366066667,-122.170345,,,,,Haliaeetus leucocephalus,Bald Eagle
2020-03-07,2020-03-07 20:22:00 UTC,research,32.5739727986,-117.1307231988,59,,,59,Rallus obsoletus,Ridgway's Rail
2020-03-07,2020-03-07 16:47:34 UTC,research,33.730575,-116.38040833,8,,,8,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-07,2020-03-07 19:31:05 UTC,research,36.9607056499,-122.0850409286,84,,,84,Circus hudsonius,Northern Harrier
2020-03-06,2020-03-06 21:28:00 UTC,research,34.0322191512,-118.6831647026,61,,,28874,Pandion haliaetus,Osprey
2020-03-06,,research,36.467940027,-121.1253156461,11885,,,28534,Rana draytonii,California Red-legged Frog
2020-03-06,,research,36.5366754933,-121.0017529316,11885,,,28534,Rana draytonii,California Red-legged Frog
2020-03-07,2020-03-07 15:14:57 UTC,research,37.87012833,-122.30123833,12,,,12,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-07,2020-03-07 15:24:30 UTC,research,37.80356379,-122.44733058,4,,,4,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-07,2020-03-07 15:29:47 UTC,research,33.9690333722,-118.4286618713,16,,,28902,Pandion haliaetus,Osprey
2020-03-07,2020-03-07 20:26:48 UTC,research,38.379852635,-122.4447477595,5,,,28270,Taricha rivularis,Red-bellied Newt
2020-03-07,2020-03-07 19:05:51 UTC,research,33.969152,-118.441897,16,,,16,Passerculus sandwichensis beldingi,Belding's Sparrow
2020-03-07,2020-03-07 20:24:12 UTC,research,38.2986789373,-122.4354690494,10,,,28270,Taricha rivularis,Red-bellied Newt
2020-03-07,2020-03-07 19:19:41 UTC,research,33.965125,-118.448242,16,,,16,Circus hudsonius,Northern Harrier
2020-03-07,2020-03-07 20:12:17 UTC,research,38.38908588,-122.450029932,10,,,28270,Taricha rivularis,Red-bellied Newt
2020-03-07,2020-03-07 20:09:02 UTC,research,38.3822274555,-122.5521759086,5,,,28270,Taricha rivularis,Red-bellied Newt
2020-03-07,2020-03-07 20:33:00 UTC,research,32.6998433639,-116.9795148549,183,,,183,Circus hudsonius,Northern Harrier
