observed_on,time_observed_at,quality_grade,latitude,longitude,positional_accuracy,private_latitude,private_longitude,public_positional_accuracy,scientific_name,common_name
2020-03-01,2020-03-01 17:26:00 UTC,research,34.108215,-118.252635,,,,28874,Pandion haliaetus,Osprey
2020-03-01,2020-03-01 18:41:50 UTC,research,33.7820775548,-118.291080739,1584,,,1584,Accipiter striatus,Sharp-shinned Hawk
2020-03-01,2020-03-01 14:17:06 UTC,research,34.43181667,-118.55652,5,,,5,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-01,2020-03-01 18:55:00 UTC,research,33.7834843441,-118.2942099221,15,,,15,Pandion haliaetus,Osprey
2020-03-01,2020-03-01 18:36:00 UTC,research,33.0955403217,-116.9969887027,358,,,358,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-01,2020-03-01 18:38:00 UTC,research,33.0947134031,-116.9952077159,286,,,286,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-01,2020-03-01 18:57:00 UTC,research,33.0939943442,-116.9961089278,194,,,194,Nannopterum auritum,Double-crested Cormorant
2020-03-01,2020-03-01 19:35:00 UTC,research,38.50172833,-122.90343667,6,,,6,Pandion haliaetus,Osprey
2020-03-01,2020-03-02 00:10:38 UTC,research,37.80545833,-122.46569,,,,,Anarhynchus nivosus,Snowy Plover
2020-03-01,2020-03-02 00:06:00 UTC,research,37.167252,-121.734952,100,,,100,Pica nuttalli,Yellow-billed Magpie
2020-03-01,2020-03-01 14:54:00 UTC,research,38.5624931972,-121.6284746475,190,,,190,Circus hudsonius,Northern Harrier
2020-03-01,2020-03-01 15:25:00 UTC,research,38.5150033333,-121.6159616667,,,,,Circus hudsonius,Northern Harrier
2020-03-01,2020-03-01 15:33:00 UTC,research,38.5142883333,-121.6186416667,,,,,Circus hudsonius,Northern Harrier
2020-03-01,2020-03-01 15:43:00 UTC,research,38.5143066667,-121.6247516667,,,,,Circus hudsonius,Northern Harrier
2020-03-01,2020-03-01 17:51:00 UTC,research,34.4205478808,-119.7979144072,46,,,46,Circus hudsonius,Northern Harrier
2020-03-01,2020-03-01 12:41:00 UTC,research,37.8819880503,-122.4385111034,32,,,32,Haliaeetus leucocephalus,Bald Eagle
2020-03-01,2020-03-01 19:46:00 UTC,research,37.454804,-121.86231,249,,,249,Nannopterum auritum,Double-crested Cormorant
2020-03-01,2020-03-01 21:22:00 UTC,research,32.7165833333,-117.221955,,,,,Larus heermanni,Heermann's Gull
2020-03-01,2020-03-01 22:27:00 UTC,research,32.71429,-117.2255633333,,,,,Nannopterum auritum,Double-crested Cormorant
2020-03-01,2020-03-02 01:25:00 UTC,research,37.8369286154,-122.3087096207,74,,,74,Podiceps auritus,Horned Grebe
2020-03-01,2020-03-02 01:25:00 UTC,research,37.8369286154,-122.3087096207,74,,,74,Podiceps auritus,Horned Grebe
2020-03-01,2020-03-01 17:29:00 UTC,research,38.5297566667,-121.6144683333,,,,,Nannopterum auritum,Double-crested Cormorant
2020-03-01,2020-03-01 17:29:00 UTC,research,38.5297566667,-121.6144683333,,,,,Nannopterum auritum,Double-crested Cormorant
2020-03-01,2020-03-01 17:29:00 UTC,research,38.530275,-121.6141633333,,,,,Nannopterum auritum,Double-crested Cormorant
2020-03-01,2020-03-01 17:37:00 UTC,research,38.5308066667,-121.6185616667,,,,,Circus hudsonius,Northern Harrier
2020-03-01,2020-03-02 03:09:51 UTC,research,32.7940961915,-116.8622075549,5,,,29066,Spea hammondii,Western Spadefoot
2020-03-01,2020-03-02 03:57:26 UTC,research,32.7826195753,-116.9186719912,5,,,29066,Spea hammondii,Western Spadefoot
2020-03-01,2020-03-02 04:14:36 UTC,research,32.716604326,-116.9949435008,5,,,29066,Spea hammondii,Western Spadefoot
2020-03-01,2020-03-01 14:09:33 UTC,research,40.86967877,-124.07076582,10,,,10,Falco peregrinus,Peregrine Falcon
2020-03-01,2020-03-01 23:05:00 UTC,research,37.7662859225,-122.4734156877,113,,,113,Haliaeetus leucocephalus,Bald Eagle
2020-03-01,2020-03-01 21:19:00 UTC,research,32.7139305556,-117.2257083333,,,,,Nannopterum auritum,Double-crested Cormorant
2020-03-01,2020-03-01 19:23:00 UTC,research,33.6068166667,-116.2762766667,,,,28930,Lanius ludovicianus,Loggerhead Shrike
2020-03-01,2020-03-01 16:40:00 UTC,research,33.6005116667,-116.2683833333,,,,,Calypte costae,Costa's Hummingbird
2020-03-01,2020-03-01 17:12:00 UTC,research,33.59732,-116.2736483333,,,,,Calypte costae,Costa's Hummingbird
2020-03-01,2020-03-01 16:19:00 UTC,research,33.6039366667,-116.2707966667,,,,,Calypte costae,Costa's Hummingbird
2020-03-02,2020-03-02 23:40:50 UTC,research,33.1247971667,-116.6748283333,,,,,Haliaeetus leucocephalus,Bald Eagle
2020-03-02,2020-03-03 00:49:15 UTC,research,33.9041606337,-117.8651847226,5,,,5,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-02,2020-03-02 23:39:03 UTC,research,36.4134473694,-121.0309321231,,,,28534,Gymnogyps californianus,California Condor
2020-03-02,2020-03-03 01:26:22 UTC,research,34.46140333,-119.76461167,8,,,8,Circus hudsonius,Northern Harrier
2020-03-02,2020-03-02 20:23:09 UTC,research,34.1490514167,-114.5087556667,,,,,Lanius ludovicianus,Loggerhead Shrike
2020-03-02,2020-03-03 00:47:03 UTC,research,40.6803461275,-124.2268972507,138,,,138,Circus hudsonius,Northern Harrier
2020-03-02,2020-03-02 23:45:38 UTC,research,40.678685392,-124.2232217728,249,,,249,Haliaeetus leucocephalus,Bald Eagle
2020-03-02,2020-03-03 00:01:20 UTC,research,40.6835258404,-124.2238986072,126,,,126,Podiceps auritus,Horned Grebe
2020-03-02,2020-03-03 00:01:18 UTC,research,40.6834324914,-124.2238759812,190,,,190,Podiceps auritus,Horned Grebe
2020-03-01,2020-03-01 15:49:00 UTC,research,32.6323966567,-117.2054874474,7813,,,7813,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-02,2020-03-03 02:44:00 UTC,research,37.7876098573,-122.4703809769,4,,,4,Nycticorax nycticorax,Black-crowned Night Heron
2020-03-02,2020-03-02 16:47:03 UTC,research,40.6808901284,-124.2252024045,552,,,552,Circus hudsonius,Northern Harrier
2020-03-02,2020-03-02 15:45:38 UTC,research,40.6800579839,-124.2254587116,355,,,355,Haliaeetus leucocephalus,Bald Eagle
2020-03-02,2020-03-02 18:29:00 UTC,research,39.425305,-122.1491866667,,,,,Haliaeetus leucocephalus,Bald Eagle
2020-03-02,2020-03-02 18:17:00 UTC,research,39.42215,-122.1469483333,,,,,Circus hudsonius,Northern Harrier
2020-03-02,2020-03-02 18:48:00 UTC,research,39.43659,-122.1759233333,,,,,Haliaeetus leucocephalus,Bald Eagle
2020-03-02,2020-03-02 18:49:00 UTC,research,39.43662,-122.1802483333,,,,,Haliaeetus leucocephalus,Bald Eagle
2020-03-02,2020-03-03 00:06:00 UTC,research,37.0825379248,-122.0625626806,15,,,15,Nannopterum auritum,Double-crested Cormorant
2020-03-03,2020-03-03 17:49:09 UTC,research,34.06243883,-118.35508,1414,,,1414,Falco peregrinus,Peregrine Falcon
2020-03-02,2020-03-02 16:01:00 UTC,research,37.9146462128,-122.2854280472,483,,,483,Nannopterum auritum,Double-crested Cormorant
2020-03-03,2020-03-03 14:46:55 UTC,research,33.6991216667,-116.3742366667,,,,,Calypte costae,Costa's Hummingbird
